code #,part #,model id,release,model #,cpu,gpu,emc,size,color
A1425,661-7014,MacBookPro10.2,Early 2013,ME662LL/A,2.6 GHz Core i5-3230M,HD Graphics 4000,2672,13,Silver
A1425,661-7014,MacBookPro10.2,Early 2013,BTO,3.0 GHz Core i7-3540M,HD Graphics 4000,2672,13,Silver
! A1465
A1465,661-6624,MacBookAir5.1,Mid 2012,MD223LL/A,1.7 GHz Core i5-3317U,HD Graphics 4000,2558,11,Silver
A1465,661-6624,MacBookAir5.1,Mid 2012,MD224LL/A,1.7 GHz Core i5-3317U,HD Graphics 4000,2558,11,Silver
A1465,661-6624,MacBookAir5.1,Mid 2012,MD845LL/A,2.0 GHz Core i7-3667U,HD Graphics 4000,2558,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,MD711LL/A,1.3 GHz Core i5-4250U,HD Graphics 5000,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,MD712LL/A,1.3 GHz Core i5-4250U,HD Graphics 5000,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Mid 2013,BTO,1.7 GHz Core i5-4250U,HD Graphics 5000,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MD711LL/B,1.4 GHz Core i5-4260U,HD Graphics 5000,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MD712LL/B,1.4 GHz Core i5-4260U,HD Graphics 5000,2631,11,Silver
A1465,661-7468,MacBookAir6.1,Early 2014,MF067LL/A,1.7 GHz Core i7-4650U,HD Graphics 5000,2631,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,MJVM2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2924,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,MJVP2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2924,11,Silver
A1465,661-02345,MacBookAir7.1,Early 2015,BTO,2.2 GHz Core i7-5250U,HD Graphics 6000,2924,11,Silver
! A1466
A1466,661-6630,MacBookAir5.2,Mid 2012,MD231LL/A,1.8 GHz Core i5-3427U,HD Graphics 4000,2559,13,Silver
A1466,661-6630,MacBookAir5.2,Mid 2012,MD846LL/A,2.0 GHz Core i7-3667U,HD Graphics 4000,2559,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,MD760LL/A,1.3 GHz Core i5-4250U,HD Graphics 5000,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,MD761LL/A,1.3 GHz Core i5-4250U,HD Graphics 5000,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Mid 2013,BTO,1.7 GHz Core i7-4650U,HD Graphics 5000,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MD760LL/B,1.4 GHz Core i5-4260U,HD Graphics 5000,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MD761LL/B,1.4 GHz Core i5-4260U,HD Graphics 5000,2632,13,Silver
A1466,661-7475,MacBookAir6.2,Early 2014,MF068LL/A,1.7 GHz Core i7-4650U,HD Graphics 5000,2632,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MJVE2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MJVG2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2925,13,Silver
