model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
A2251/A2289,661-15733,MacBookPro16.2,2020,MXK52LL/A,1.4 GHz Core i5-8257U,3456,13,Silver
A2251/A2289,661-15733,MacBookPro16.2,2020,BTO,1.7 GHz Core i7-8357U,3456,13,Silver
A2251/A2289,661-15733,MacBookPro16.3,2020,MWP72LL/A,2.0 GHz Core i5-1038NG7,3348,13,Silver
A2251/A2289,661-15733,MacBookPro16.3,2020,MWP82LL/A,2.0 GHz Core i5-1038NG7,3348,13,Silver
A2251/A2289,661-15733,MacBookPro16.3,2020,BTO,2.3 GHz Core i7-1068NG7,3348,13,Silver
# A2289/A2251
A2289/A2251,661-15732,MacBookPro16.2,2020,MWP42LL/A,2.0 GHz Core i5-1038NG7,3348,13,Space Gray
A2289/A2251,661-15732,MacBookPro16.2,2020,MWP52LL/A,2.0 GHz Core i5-1038NG7,3348,13,Space Gray
A2289/A2251,661-15732,MacBookPro16.2,2020,BTO,2.3 GHz Core i7-1068NG7,3348,13,Space Gray
A2289/A2251,661-15732,MacBookPro16.3,2020,MXK32LL/A,1.4 GHz Core i5-8257U,3456,13,Space Gray
A2289/A2251,661-15732,MacBookPro16.3,2020,MXK52LL/A,1.4 GHz Core i5-8257U,3456,13,Space Gray
A2289/A2251,661-15732,MacBookPro16.3,2020,BTO,1.7 GHz Core i7-8357U,3456,13,Space Gray
A2289/A2251,661-15733,MacBookPro16.2,2020,MXK32LL/A,1.4 GHz Core i5-8257U,3456,13,Silver
A2289/A2251,661-15733,MacBookPro16.2,2020,MXK52LL/A,1.4 GHz Core i5-8257U,3456,13,Silver
A2289/A2251,661-15733,MacBookPro16.2,2020,BTO,1.7 GHz Core i7-8357U,3456,13,Silver
A2289/A2251,661-15733,MacBookPro16.3,2020,MWP72LL/A,2.0 GHz Core i5-1038NG7,3348,13,Silver
A2289/A2251,661-15733,MacBookPro16.3,2020,MWP82LL/A,2.0 GHz Core i5-1038NG7,3348,13,Silver
A2289/A2251,661-15733,MacBookPro16.3,2020,BTO,2.3 GHz Core i7-1068NG7,3348,13,Silver
# A2337
A2337,661-16806,MacBookAir10.1,2020,MGN63LL/A,3.2 GHz Apple M1,3598,13,Space Gray
A2337,661-16806,MacBookAir10.1,2020,MGN73LL/A,3.2 GHz Apple M1,3598,13,Space Gray
A2337,661-16806,MacBookAir10.1,2020,MGN53LL/A,3.2 GHz Apple M1,3598,13,Space Gray
A2337,661-16807,MacBookAir10.1,2020,MGN83LL/A,3.2 GHz Apple M1,3598,13,Silver
A2337,661-16807,MacBookAir10.1,2020,MGN93LL/A,3.2 GHz Apple M1,3598,13,Silver
A2337,661-16807,MacBookAir10.1,2020,MGNA3LL/A,3.2 GHz Apple M1,3598,13,Silver
A2337,661-16808,MacBookAir10.1,2020,MGND3LL/A,3.2 GHz Apple M1,3598,13,Gold
A2337,661-16808,MacBookAir10.1,2020,MGNE3LL/A,3.2 GHz Apple M1,3598,13,Gold
# A2338
A2338,661-17548,MacBookPro17.1,2020,MYD82LL/A,3.2 GHz Apple M1,3578,13,Space Gray
A2338,661-17548,MacBookPro17.1,2020,MYD92LL/A,3.2 GHz Apple M1,3578,13,Space Gray
A2338,661-17548,Mac14.7,2022,MNEH3LL/A,3.49 GHz Apple M2,3578,13,Space Gray
A2338,661-17548,Mac14.7,2022,MNEJ3LL/A,3.49 GHz Apple M2,3578,13,Space Gray
A2338,661-17549,MacBookPro17.1,2020,MYD82LL/A,3.2 GHz Apple M1,3578,13,Silver
A2338,661-17549,MacBookPro17.1,2020,MYD92LL/A,3.2 GHz Apple M1,3578,13,Silver
A2338,661-17549,Mac14.7,2022,MNEH3LL/A,3.49 GHz Apple M2,3578,13,Silver
A2338,661-17549,Mac14.7,2022,MNEJ3LL/A,3.49 GHz Apple M2,3578,13,Silver
# A2442
A2442,661-21972,MacBookPro18.3,2021,MKGP3LL/A,3.2 GHz Apple M1 Pro,3650,14,Space Gray
A2442,661-21972,MacBookPro18.3,2021,MKGQ3LL/A,3.2 GHz Apple M1 Pro,3650,14,Space Gray
A2442,661-21972,MacBookPro18.3,2021,BTO,3.2 GHz Apple M1 Pro,3650,14,Space Gray
A2442,661-21972,MacBookPro18.4,2021,BTO,3.2 GHz Apple M1 Max,3650,14,Space Gray
A2442,661-21973,MacBookPro18.3,2021,MKGR3LL/A,3.2 GHz Apple M1 Pro,3650,14,Silver
A2442,661-21973,MacBookPro18.3,2021,MKGT3LL/A,3.2 GHz Apple M1 Pro,3650,14,Silver
A2442,661-21973,MacBookPro18.3,2021,BTO,3.2 GHz Apple M1 Pro,3650,14,Silver
A2442,661-21973,MacBookPro18.4,2021,BTO,3.2 GHz Apple M1 Max,3650,14,Silver
# A2485
A2485,661-21968,MacBookPro18.1,2021,MK183LL/A,3.2 GHz Apple M1 Pro,3651,16,Space Gray
A2485,661-21968,MacBookPro18.1,2021,MK193LL/A,3.2 GHz Apple M1 Pro,3651,16,Space Gray
A2485,661-21968,MacBookPro18.2,2021,MK1A3LL/A,3.2 GHz Apple M1 Max,3651,16,Space Gray
A2485,661-21968,MacBookPro18.2,2021,BTO,3.2 GHz Apple M1 Max,3651,16,Space Gray
A2485,661-21969,MacBookPro18.1,2021,MK1E3LL/A,3.2 GHz Apple M1 Pro,3651,16,Silver
A2485,661-21969,MacBookPro18.1,2021,MK1F3LL/A,3.2 GHz Apple M1 Pro,3651,16,Silver
A2485,661-21969,MacBookPro18.2,2021,MK1H3LL/A,3.2 GHz Apple M1 Max,3651,16,Silver
A2485,661-21969,MacBookPro18.2,2021,BTO,3.2 GHz Apple M1 Max,3651,16,Silver
# A2681
A2681,661-25797,Mac14.2,2022,MLXW3LL/A,3.49 GHz Apple M2,4074,13,Space Gray
A2681,661-25797,Mac14.2,2022,MC7U4LL/A,3.49 GHz Apple M2,4074,13,Space Gray
A2681,661-25797,Mac14.2,2022,MLXX3LL/A,3.49 GHz Apple M2,4074,13,Space Gray
A2681,661-25798,Mac14.2,2022,MLXY3LL/A,3.49 GHz Apple M2,4074,13,Silver
A2681,661-25798,Mac14.2,2022,MC7V4LL/A,3.49 GHz Apple M2,4074,13,Silver
A2681,661-25798,Mac14.2,2022,MLY03LL/A,3.49 GHz Apple M2,4074,13,Silver
A2681,661-25799,Mac14.2,2022,MLY13LL/A,3.49 GHz Apple M2,4074,13,Starlight
A2681,661-25799,Mac14.2,2022,MC7W4LL/A,3.49 GHz Apple M2,4074,13,Starlight
A2681,661-25799,Mac14.2,2022,MLY23LL/A,3.49 GHz Apple M2,4074,13,Starlight
A2681,661-25800,Mac14.2,2022,MLY33LL/A,3.49 GHz Apple M2,4074,13,Midnight
A2681,661-25800,Mac14.2,2022,MC7X4LL/A,3.49 GHz Apple M2,4074,13,Midnight
A2681,661-25800,Mac14.2,2022,MLY43LL/A,3.49 GHz Apple M2,4074,13,Midnight
# A2779
A2779,661-32207,Mac14.9,2023,MPHE3LL/A,3.49GHz Apple M2 Pro,8102,14,Space Gray
A2779,661-32207,Mac14.9,2023,MPHF3LL/A,3.49GHz Apple M2 Pro,8102,14,Space Gray
A2779,661-32207,Mac14.5,2023,MPHG3LL/A,3.68GHz Apple M2 Max,8102,14,Space Gray
A2779,661-32207,Mac14.5,2023,BTO,3.68GHz Apple M2 Max,8102,14,Space Gray
A2779,661-32209,Mac14.9,2023,MPHH3LL/,3.49GHz Apple M2 Pro,8102,14,Silver
A2779,661-32209,Mac14.9,2023,MPHJ3LL/A,3.49GHz Apple M2 Pro,8102,14,Silver
A2779,661-32209,Mac14.5,2023,MPHK3LL/A,3.68GHz Apple M2 Max,8102,14,Silver
A2779,661-32209,Mac14.5,2023,BTO,3.68GHz Apple M2 Max,8102,14,Silver
# A2780
A2780,661-32187,Mac14.10,2023,MNW83LL/A,3.49GHz Apple M2 Pro,8103,16,Space Gray
A2780,661-32187,Mac14.10,2023,MNW93LL/A,3.49GHz Apple M2 Pro,8103,16,Space Gray
A2780,661-32187,Mac14.6,2023,MNWA3LL/A,3.68GHz Apple M2 Max,8103,16,Space Gray
A2780,661-32187,Mac14.6,2023,BTO,3.68GHz Apple M2 Max,8103,16,Space Gray
A2780,661-32188,Mac14.10,2023,MNWC3LL/A,3.49GHz Apple M2 Pro,8103,16,Silver
A2780,661-32188,Mac14.10,2023,MNWD3LL/A,3.49GHz Apple M2 Pro,8103,16,Silver
A2780,661-32188,Mac14.6,2023,MNWE3LL/A,3.68GHz Apple M2 Max,8103,16,Silver
A2780,661-32188,Mac14.6,2023,BTO,3.68GHz Apple M2 Max,8103,16,Silver
# A2918
A2918,661-35704,Mac15.3,2023,MTL73LL/A,4.05GHz Apple M3,8304,14,Space Gray
A2918,661-35704,Mac15.3,2023,MTL83LL/A,4.05GHz Apple M3,8304,14,Space Gray
A2918,661-35704,Mac15.3,2023,MXE03LL/A,4.05GHz Apple M3,8304,14,Space Gray
A2918,661-35705,Mac15.3,2023,MR7J3LL/A,4.05GHz Apple M3,8304,14,Silver
A2918,661-35705,Mac15.3,2023,MR7K3LL/A,4.05GHz Apple M3,8304,14,Silver
A2918,661-35705,Mac15.3,2023,MXE13LL/A,4.05GHz Apple M3,8304,14,Silver
# A2941/A3114
A2941/A3114,661-34702,Mac14.15,2023,MQKP3LL/A,3.49GHz Apple M2,8301,14,Space Gray
A2941/A3114,661-34702,Mac14.15,2023,MQKQ3LL/A,3.49GHz Apple M2,8301,14,Space Gray
A2941/A3114,661-34702,Mac15.13,2024,MRYM3LL/A,4.05 GHz Apple M3,8612,14,Space Gray
A2941/A3114,661-34702,Mac15.13,2024,MRYN3LL/A,4.05 GHz Apple M3,8612,14,Space Gray
A2941/A3114,661-34702,Mac15.13,2024,MXD13LL/A,4.05 GHz Apple M3,8612,14,Space Gray
A2941/A3114,661-34702,Mac15.13,2024,MC9D4LL/A,4.05 GHz Apple M3,8612,14,Space Gray
A2941/A3114,661-34702,Mac15.13,2024,MC9H4LL/A,4.05 GHz Apple M3,8612,14,Space Gray
A2941/A3114,661-34703,Mac14.15,2023,MQKR3LL/A,3.49GHz Apple M2,8301,14,Silver
A2941/A3114,661-34703,Mac14.15,2023,MQKT3LL/A,3.49GHz Apple M2,8301,14,Silver
A2941/A3114,661-34703,Mac15.13,2024,MRYP3LL/A,4.05 GHz Apple M3,8612,14,Silver
A2941/A3114,661-34703,Mac15.13,2024,MRYQ3LL/A,4.05 GHz Apple M3,8612,14,Silver
A2941/A3114,661-34703,Mac15.13,2024,MXD23LL/A,4.05 GHz Apple M3,8612,14,Silver
A2941/A3114,661-34703,Mac15.13,2024,MC9E4LL/A,4.05 GHz Apple M3,8612,14,Silver
A2941/A3114,661-34703,Mac15.13,2024,MC9J4LL/A,4.05 GHz Apple M3,8612,14,Silver
A2941/A3114,661-34704,Mac14.15,2023,MQKU3LL/A,3.49GHz Apple M2,8301,14,Starlight
A2941/A3114,661-34704,Mac14.15,2023,MQKV3LL/A,3.49GHz Apple M2,8301,14,Starlight
A2941/A3114,661-34704,Mac15.13,2024,MRYR3LL/A,4.05 GHz Apple M3,8612,14,Starlight
A2941/A3114,661-34704,Mac15.13,2024,MRYT3LL/A,4.05 GHz Apple M3,8612,14,Starlight
A2941/A3114,661-34704,Mac15.13,2024,MXD33LL/A,4.05 GHz Apple M3,8612,14,Starlight
A2941/A3114,661-34704,Mac15.13,2024,MC9F4LL/A,4.05 GHz Apple M3,8612,14,Starlight
A2941/A3114,661-34704,Mac15.13,2024,MC9K4LL/A,4.05 GHz Apple M3,8612,14,Starlight
A2941/A3114,661-34705,Mac14.15,2023,MQKW3LL/A,3.49GHz Apple M2,8301,14,Midnight
A2941/A3114,661-34705,Mac14.15,2023,MQKX3LL/A,3.49GHz Apple M2,8301,14,Midnight
A2941/A3114,661-34705,Mac15.13,2024,MRYU3LL/A,4.05 GHz Apple M3,8612,14,Midnight
A2941/A3114,661-34705,Mac15.13,2024,MRYV3LL/A,4.05 GHz Apple M3,8612,14,Midnight
A2941/A3114,661-34705,Mac15.13,2024,MXD43LL/A,4.05 GHz Apple M3,8612,14,Midnight
A2941/A3114,661-34705,Mac15.13,2024,MC9G4LL/A,4.05 GHz Apple M3,8612,14,Midnight
A2941/A3114,661-34705,Mac15.13,2024,MC9L4LL/A,4.05 GHz Apple M3,8612,14,Midnight
# A2991
A2991,661-38683,Mac15.7,Late 2023,MRW13LL/A,4.05 GHz Apple M3 Pro,8408,16,Space Black
A2991,661-38683,Mac15.7,Late 2023,MRW23LL/A,4.05 GHz Apple M3 Pro,8408,16,Space Black
A2991,661-38683,Mac15.11,Late 2023,MRW33LL/A,4.05 GHz Apple M3 Max,8408,16,Space Black
A2991,661-38683,Mac15.9,Late 2023,MUW63LL/A,4.05 GHz Apple M3 Max,8408,16,Space Black
A2991,661-38684,Mac15.7,Late 2023,MRW43LL/A,4.05 GHz Apple M3 Pro,8408,16,Silver
A2991,661-38684,Mac15.7,Late 2023,MRW63LL/A,4.05 GHz Apple M3 Pro,8408,16,Silver
A2991,661-38684,Mac15.11,Late 2023,MRW73LL/A,4.05 GHz Apple M3 Max,8408,16,Silver
A2991,661-38684,Mac15.9,Late 2023,MUW73LL/A,4.05 GHz Apple M3 Max,8408,16,Silver
# A2992
A2992,661-37952,Mac15.6,Late 2023,MRX33LL/A,4.05 GHz Apple M3 Pro,8407,14,Space Black
A2992,661-37952,Mac15.6,Late 2023,MRX43LL/A,4.05 GHz Apple M3 Pro,8407,14,Space Black
A2992,661-37952,Mac15.10,Late 2023,MRX53LL/A,4.05 GHz Apple M3 Max,8407,14,Space Black
A2992,661-37952,Mac15.8,Late 20223,BTO,4.05 GHz Apple M3 Max,8407,14,Space Black
A2992,661-37953,Mac15.6,Late 2023,MRX63LL/A,4.05 GHz Apple M3 Pro,8407,14,Silver
A2992,661-37953,Mac15.6,Late 2023,MRX73LL/A,4.05 GHz Apple M3 Pro,8407,14,Silver
A2992,661-37953,Mac15.10,Late 2023,MRX83LL/A,4.05 GHz Apple M3 Max,8407,14,Silver
A2992,661-37953,Mac15.8,Late 20223,BTO,4.05 GHz Apple M3 Max,8407,14,Silver
